Bs_Name ,I_Name ,I_x ,I_y ,J_Name,J_x,J_y
国调.南荆I线,国调.荆门站,4394,3300,国调.南阳站,4396,3014
国调.长南I线,国调.长治站,4398,2570,国调.南阳站,4396,3014
华北.岳定I线,华北.保定,4639,2187,华北.北岳,4425,2068
华北.鄂岳II线,华北.北岳,4425,2068,华北.鄂尔多斯,4063,2072
华北.定河II线,华北.保定,4639,2187,华北.海河,4967,2328
华北.横洪Ⅰ线,华北.横山,4124.82,2271.24,华北.洪善,4592,2273
华北.廊河II线,华北.海河,4967,2328,华北.廊坊,4746,2099
华北.锡廊I线_4,华北.廊坊,4746,2099,华北.隆化串补,4854,1833
华北.泉乐Ⅱ线,华北.昌乐,5017,2477,华北.泉城,4585,2390
华北.河泉Ⅰ线,华北.海河,4967,2328,华北.泉城,4585,2390
华北.锡廊I线,华北.隆化串补,4854,1833,华北.锡盟,4691,1953
华北.胜锡Ⅰ线,华北.胜利,4679,2059,华北.锡盟,4691,1953
华北.台泉I线,华北.泉城,4585,2390,华北.邢台,4521,2444
华北.洪台Ⅰ线,华北.洪善,4592,2273,华北.邢台,4521,2444
华东.泰吴II线,国调.泰州换流站,5179,2994,华东.东吴,5167,3093
华东.安兰II线,华东.安吉,5181,3277,华东.兰江,5276,3447
华东.江莲I线,华东.兰江,5276,3447,华东.莲都,5216,3603
华东.平淮5345线,华东.淮南,4878,3144,华东.平圩厂,5075,3125
华东.淮芜I线,华东.淮南,4878,3144,华东.芜湖,4927,3339
华东.湖安II线,华东.安吉,5181,3277,华东.芜湖,4927,3339
华东.淮盱II线,华东.淮南,4878,3144,华东.盱眙,5030,2991
华东.盱泰I线,国调.泰州换流站,5179,2994,华东.盱眙,5030,2991
华东.安塘II线,华东.安吉,5181,3277,华东.练塘,5249.41,3183.4
华东.吴塘I线,华东.东吴,5167,3093,华东.练塘,5249.41,3183.4
国调.东州线,国调.灵州换流站,3697,2237,国调.宁东二期电厂,3609,2240
国调.祁韶直流极1线路,国调.祁连换流站,3002,2177,国调.韶山换流站,4361,3751
国调.锦苏直流极1线路,国调.锦屏换流站,3135,3742,国调.苏州换流站,5267,3223
华北.胜林二线,华北.胜利,4679,2059,国调.锡盟换流站,4767,1957
国调.雁淮直流极1线路,国调.淮安换流站,5079,2902,国调.雁门关换流站,4347,2130
国调.宾金直流极1线路,国调.金华换流站,5153,3507,国调.宜宾换流站,3446.87,3598
西北.7162州川Ⅱ线,国调.灵州换流站,3697,2237,国调.银川东换流站,3700,2160
国调.银东直流极1线路,国调.胶东换流站,5116,2503,国调.银川东换流站,3700,2160
国调.星州II线,国调.灵州换流站,3697,2237,国调.银星电厂,3731,2199
国调.天中直流极1线路,国调.天山换流站,4947,1728,国调.中州换流站,4465,2774
西北.7158阿楚Ⅰ线,西北.阿克苏变,1115,1431,西北.巴楚变,862,1546
西北.71023宝新Ⅱ线,国调.宝鸡换流站,3755,2829,西北.宝二二期电厂,3777,2875
西北.71310哈天Ⅱ线,国调.天山换流站,4947,1728,西北.哈密变,2435,1490
西北.7105敦哈Ⅱ线,西北.敦煌变,2423,1843,西北.哈密变,2435,1490
西北.7116海柴Ⅱ线,西北.柴达木换流站,2138,2171,西北.海西变,2753,2317
西北.70811大贺Ⅰ线,西北.大坝三期电厂,4187,3298,西北.贺兰山变,3636,2358
西北.70810黄州Ⅰ线,国调.灵州换流站,3697,2237,西北.黄河变,3529,2501
西北.7097白黄Ⅱ线,西北.白银变,3431,2505,西北.黄河变,3529,2501
西北.7155黄贺Ⅱ线,西北.贺兰山变,3636,2358,西北.黄河变,3529,2501
西北.71016京川Ⅰ线,国调.银川东换流站,3700,2160,西北.京能宁东电厂,3555,2154
西北.7098景白Ⅰ线,西北.白银变,3431,2505,西北.景泰电厂,3428,2407
西北.7108河泉Ⅰ线,西北.河西变,4284,3020,西北.酒泉变,2882,2017
西北.7159楚喀Ⅰ线,西北.巴楚变,862,1546,西北.喀什变,613,1532
西北.7157库阿Ⅰ线,西北.阿克苏变,1115,1431,西北.库车变,1539,1292
西北.7084官拉Ⅰ线,西北.官亭变,3185,2531,西北.拉西瓦电厂,3093,2594
西北.7051东官Ⅰ线,西北.官亭变,3185,2531,西北.兰州东变,3509,2611
西北.7081白东Ⅰ线,西北.白银变,3431,2505,西北.兰州东变,3509,2611
西北.71021川灵Ⅰ线,国调.银川东换流站,3700,2160,西北.灵武二期电厂,3772,2309
西北.71611州盘Ⅰ线,国调.灵州换流站,3697,2237,西北.六盘山变,3673,2611
西北.71411山宝Ⅰ线,国调.宝鸡换流站,3755,2829,西北.南山变,3375,2572
西北.71617高祁Ⅲ线,国调.祁连换流站,3002,2177,西北.莫高变,3564,2732
西北.71012高敦Ⅰ线,西北.敦煌变,2423,1843,西北.莫高变,3564,2732
西北.7169高泉Ⅰ线,西北.酒泉变,2882,2017,西北.莫高变,3564,2732
西北.71614盘凉Ⅱ线,西北.六盘山变,3673,2611,西北.平凉变,3712.47,2669
西北.7103凉崇Ⅰ线,西北.崇信电厂,3791,2718,西北.平凉变,3712.47,2669
西北.7086东凉Ⅰ线,西北.兰州东变,3509,2611,西北.平凉变,3712.47,2669
西北.70915平凉线,西北.平凉变,3712.47,2669,西北.平凉二期电厂,3794,2646
西北.7099宝乾Ⅰ线,国调.宝鸡换流站,3755,2829,西北.乾县变,3898,2778
西北.7092彬乾Ⅱ线,西北.彬长电厂,3955,2841,西北.乾县变,3898,2778
西北.7088乾凉Ⅰ线,西北.平凉变,3712.47,2669,西北.乾县变,3898,2778
西北.7114海月Ⅱ线,西北.海西变,2753,2317,西北.日月山变,3052,2534
西北.71515哈塘Ⅱ线,西北.哈密变,2435,1490,西北.三塘湖变,2430,1277
西北.7154湖川Ⅱ线,国调.银川东换流站,3700,2160,西北.沙湖变,3655,2192
西北.7151贺湖Ⅰ线,西北.贺兰山变,3636,2358,西北.沙湖变,3655,2192
西北.71301沙敦Ⅰ线,西北.敦煌变,2423,1843,西北.沙州变,2505,1974
西北.月塔Ⅱ线,西北.日月山变,3052,2534,西北.塔拉变,4047,1968
西北.70911吐达Ⅰ线,西北.达坂城变,1798,1325,西北.吐鲁番变,1976,1422
西北.70914吐哈Ⅱ线,西北.哈密变,2435,1490,西北.吐鲁番变,1976,1422
西北.7096郭武Ⅱ线,西北.郭隆变,807,2828,西北.武胜变,3393,2459
西北.7093白武Ⅰ线,西北.白银变,3431,2505,西北.武胜变,3393,2459
西北.7107河武Ⅱ线,西北.河西变,4284,3020,西北.武胜变,3393,2459
西北.7083宁官线,西北.官亭变,3185,2531,西北.西宁变,3185,2443
西北.7173宁郭Ⅱ线,西北.郭隆变,807,2828,西北.西宁变,3185,2443
西北.7085宁拉线,西北.拉西瓦电厂,3093,2594,西北.西宁变,3185,2443
西北.71019宁月Ⅱ线,西北.日月山变,3052,2534,西北.西宁变,3185,2443
西北.7166宁塔Ⅰ线,西北.塔拉变,4047,1968,西北.西宁变,3185,2443
西北.7101乾信Ⅰ线,西北.乾县变,3898,2778,西北.信义变,3893,2571
西北.7112信洛Ⅱ线,西北.洛川变,4003,2665,西北.信义变,3893,2571
西北.7119秦信线,西北.秦岭电厂,3972,2767,西北.信义变,3893,2571
西北.71412山信Ⅰ线,西北.南山变,3375,2572,西北.信义变,3893,2571
西北.71312烟天Ⅱ线,国调.天山换流站,4947,1728,西北.烟墩变,2766,1851
西北.71305沙烟Ⅰ线,西北.沙州变,2505,1974,西北.烟墩变,2766,1851
西北.7165伊库I线,西北.库车变,1539,1292,西北.伊犁变,1350,1131
西北.7117洛横Ⅰ线,西北.洛川变,4003,2665,西北.榆横变,4058,2298
西北.7156横店线,西北.店塔电厂,4110,2131,西北.榆横变,4058,2298
西北.71313双横线,西北.双河榆横电厂,4059,2916,西北.榆横变,4058,2298
西北.71308柴鱼Ⅱ线,西北.柴达木换流站,2138,2171,西北.鱼卡变,2503,2165
西北.71303沙鱼Ⅰ线,西北.沙州变,2505,1974,西北.鱼卡变,2503,2165
西北.71513塘芨Ⅱ线,西北.三塘湖变,2430,1277,西北.芨芨湖变,2228,1281
西北.71510芨彩Ⅱ线,西北.五彩湾变,2042,1198,西北.芨芨湖变,2228,1281
西北.7163联彩Ⅰ线,西北.五彩湾变,2042,1198,新疆.恒联电厂,2038,1588
西北.7122苏凤线,西北.凤凰变,4038,3681,西北.乌苏变,1697,1033
西北.7121伊苏线,西北.伊犁变,1350,1131,西北.乌苏变,1697,1033
西北.7142达乌Ⅱ线,西北.达坂城变,1798,1325,西北.乌北变,1877,1122
西北.70810凤乌线,西北.凤凰变,4038,3681,西北.乌北变,1877,1122
西北.71414彩乌Ⅱ线,西北.五彩湾变,2042,1198,西北.乌北变,1877,1122
西北.7144达亚线,西北.达坂城变,1798,1325,西北.亚中变,1057,2103
西北.7143凤亚线,西北.凤凰变,4038,3681,西北.亚中变,1057,2103
西北.7149库巴线,西北.库车变,1539,1292,西北.巴州变,1644,1416
西北.71015巴吐Ⅱ线,西北.吐鲁番变,1976,1422,西北.巴州变,1644,1416
国调.黎州线,国调.灵州换流站,3697,2237,国调.黎阳电厂,4470,2679
国调.灵绍直流极1线路,国调.灵州换流站,3697,2237,国调.绍兴换流站,5154,3381
国调.荆斗III线,国调.荆门站,4394,3300,国调.斗笠站,4296,3209
国调.荆林III线,国调.荆门站,4394,3300,国调.团林换流站,4466,3255
国调.峡林III线,国调.团林换流站,4466,3255,国调.三峡右三电厂,4223,2850
国调.林江II线,国调.团林换流站,4466,3255,国调.江陵换流站,4329,3429
华东.枫练5107线,华东.练塘,5249.41,3183.4,国调.枫泾换流站,4427,3179
国调.林枫直流极1线路,国调.团林换流站,4466,3255,国调.枫泾换流站,4427,3179
国调.安江II线,国调.江陵换流站,4329,3429,国调.安福站,4242,3345
华中.江孱Ⅰ线,国调.江陵换流站,4329,3429,华中.孱陵站,4199,3473
华中.江兴Ⅰ回线,国调.江陵换流站,4329,3429,华中.兴隆站,4416,3357
国调.三江III线,国调.江陵换流站,4329,3429,国调.三峡左岸厂,4161,2851
国调.葛安II线,国调.安福站,4242,3345,国调.葛洲坝换流站,4095,3346
